"match.id","strat","t","i","u","a","obs.i","obs.j","err.D.i","err.D.j"
2132029879,"tit.for.tat",1,1,1,"C","C","C",FALSE,FALSE
2132029879,"always.coop",1,2,1,"C","C","C",FALSE,FALSE
2132029879,"tit.for.tat",2,1,1,"C","C","C",FALSE,FALSE
2132029879,"always.coop",2,2,1,"C","C","C",FALSE,FALSE
2132029879,"tit.for.tat",3,1,1,"C","C","C",TRUE,FALSE
2132029879,"always.coop",3,2,1,"C","C","C",FALSE,TRUE
2132029879,"tit.for.tat",4,1,1,"C","D","C",FALSE,FALSE
2132029879,"always.coop",4,2,1,"C","C","D",FALSE,FALSE
2132029879,"tit.for.tat",5,1,1,"C","C","C",TRUE,TRUE
2132029879,"always.coop",5,2,1,"C","C","C",TRUE,TRUE
2132029879,"tit.for.tat",6,1,2,"D","D","D",FALSE,FALSE
2132029879,"always.coop",6,2,-1,"C","D","D",FALSE,FALSE
2132029879,"tit.for.tat",7,1,1,"C","D","C",FALSE,FALSE
2132029879,"always.coop",7,2,1,"C","C","D",FALSE,FALSE
2132029879,"tit.for.tat",8,1,1,"C","C","C",FALSE,FALSE
2132029879,"always.coop",8,2,1,"C","C","C",FALSE,FALSE
2132029879,"tit.for.tat",9,1,1,"C","C","C",FALSE,FALSE
2132029879,"always.coop",9,2,1,"C","C","C",FALSE,FALSE
2132029879,"tit.for.tat",10,1,1,"C","C","C",FALSE,FALSE
2132029879,"always.coop",10,2,1,"C","C","C",FALSE,FALSE
2132029879,"tit.for.tat",11,1,1,"C","C","C",FALSE,TRUE
2132029879,"always.coop",11,2,1,"C","C","C",TRUE,FALSE
2132029879,"tit.for.tat",12,1,2,"D","C","D",TRUE,TRUE
2132029879,"always.coop",12,2,-1,"C","D","C",TRUE,TRUE
2132029879,"tit.for.tat",13,1,2,"D","D","D",FALSE,FALSE
2132029879,"always.coop",13,2,-1,"C","D","D",FALSE,FALSE
2132029879,"tit.for.tat",14,1,1,"C","D","C",FALSE,TRUE
2132029879,"always.coop",14,2,1,"C","C","D",TRUE,FALSE
2132029879,"tit.for.tat",15,1,2,"D","C","D",TRUE,FALSE
2132029879,"always.coop",15,2,-1,"C","D","C",FALSE,TRUE
2132029879,"tit.for.tat",16,1,1,"C","D","C",FALSE,TRUE
2132029879,"always.coop",16,2,1,"C","C","D",TRUE,FALSE
2132029879,"tit.for.tat",17,1,2,"D","C","D",TRUE,TRUE
2132029879,"always.coop",17,2,-1,"C","D","C",TRUE,TRUE
2132029879,"tit.for.tat",18,1,2,"D","D","D",FALSE,FALSE
2132029879,"always.coop",18,2,-1,"C","D","D",FALSE,FALSE
2132029879,"tit.for.tat",19,1,1,"C","D","C",FALSE,FALSE
2132029879,"always.coop",19,2,1,"C","C","D",FALSE,FALSE
1495471550,"tit.for.tat",1,1,-1,"C","C","C",FALSE,FALSE
1495471550,"random.action",1,2,2,"D","C","C",FALSE,FALSE
1495471550,"tit.for.tat",2,1,0,"D","C","D",FALSE,TRUE
1495471550,"random.action",2,2,0,"D","D","C",TRUE,FALSE
1495471550,"tit.for.tat",3,1,0,"D","D","D",FALSE,FALSE
