"match.id","strat","t","i","p","l","u"
341126964,"traveling.salesman",10,2,0.5,0,0.125
341126964,"traveling.salesman",11,1,0.5,0,0.125
341126964,"traveling.salesman",11,2,0.5,0,0.125
341126964,"traveling.salesman",12,1,0.5,0,0.125
341126964,"traveling.salesman",12,2,0.5,0,0.125
341126964,"traveling.salesman",13,1,0.5,0,0.125
341126964,"traveling.salesman",13,2,0.5,0,0.125
341126964,"traveling.salesman",14,1,0.5,0,0.125
341126964,"traveling.salesman",14,2,0.5,0,0.125
341126964,"traveling.salesman",15,1,0.5,0,0.125
341126964,"traveling.salesman",15,2,0.5,0,0.125
341126964,"traveling.salesman",16,1,0.5,0,0.125
341126964,"traveling.salesman",16,2,0.5,0,0.125
341126964,"traveling.salesman",17,1,0.5,0,0.125
341126964,"traveling.salesman",17,2,0.5,0,0.125
341126964,"traveling.salesman",18,1,0.5,0,0.125
341126964,"traveling.salesman",18,2,0.5,0,0.125
341126964,"traveling.salesman",19,1,0.5,0,0.125
341126964,"traveling.salesman",19,2,0.5,0,0.125
341126964,"traveling.salesman",20,1,0.5,0,0.125
341126964,"traveling.salesman",20,2,0.5,0,0.125
341126964,"traveling.salesman",21,1,0.5,0,0.125
341126964,"traveling.salesman",21,2,0.5,0,0.125
341126964,"traveling.salesman",22,1,0.5,0,0.125
341126964,"traveling.salesman",22,2,0.5,0,0.125
150831652,"traveling.salesman",1,1,0.5,0,0.125
150831652,"the.undercutter",1,2,0.5,0.5,0.375
150831652,"traveling.salesman",2,1,0.5,0,0.1225
150831652,"the.undercutter",2,2,0.49,0.5,0.36995
150831652,"traveling.salesman",3,1,0.5,0,0.1225
150831652,"the.undercutter",3,2,0.49,0.5,0.36995
150831652,"traveling.salesman",4,1,0.5,0,0.1225
150831652,"the.undercutter",4,2,0.49,0.5,0.36995
150831652,"traveling.salesman",5,1,0.5,0,0.1225
150831652,"the.undercutter",5,2,0.49,0.5,0.36995
150831652,"traveling.salesman",6,1,0.5,0,0.1225
150831652,"the.undercutter",6,2,0.49,0.5,0.36995
150831652,"traveling.salesman",7,1,0.5,0,0.1225
150831652,"the.undercutter",7,2,0.49,0.5,0.36995
150831652,"traveling.salesman",8,1,0.5,0,0.1225
150831652,"the.undercutter",8,2,0.49,0.5,0.36995
150831652,"traveling.salesman",9,1,0.5,0,0.1225
150831652,"the.undercutter",9,2,0.49,0.5,0.36995
150831652,"traveling.salesman",10,1,0.5,0,0.1225
150831652,"the.undercutter",10,2,0.49,0.5,0.36995
150831652,"traveling.salesman",11,1,0.5,0,0.1225
150831652,"the.undercutter",11,2,0.49,0.5,0.36995
150831652,"traveling.salesman",12,1,0.5,0,0.1225
150831652,"the.undercutter",12,2,0.49,0.5,0.36995
150831652,"traveling.salesman",13,1,0.5,0,0.1225
150831652,"the.undercutter",13,2,0.49,0.5,0.36995
150831652,"traveling.salesman",14,1,0.5,0,0.1225
150831652,"the.undercutter",14,2,0.49,0.5,0.36995
150831652,"traveling.salesman",15,1,0.5,0,0.1225
150831652,"the.undercutter",15,2,0.49,0.5,0.36995
150831652,"traveling.salesman",16,1,0.5,0,0.1225
150831652,"the.undercutter",16,2,0.49,0.5,0.36995
150831652,"traveling.salesman",17,1,0.5,0,0.1225
150831652,"the.undercutter",17,2,0.49,0.5,0.36995
150831652,"traveling.salesman",18,1,0.5,0,0.1225
150831652,"the.undercutter",18,2,0.49,0.5,0.36995
150831652,"traveling.salesman",19,1,0.5,0,0.1225
150831652,"the.undercutter",19,2,0.49,0.5,0.36995
150831652,"traveling.salesman",20,1,0.5,0,0.1225
150831652,"the.undercutter",20,2,0.49,0.5,0.36995
150831652,"traveling.salesman",21,1,0.5,0,0.1225
150831652,"the.undercutter",21,2,0.49,0.5,0.36995
150831652,"traveling.salesman",22,1,0.5,0,0.1225
150831652,"the.undercutter",22,2,0.49,0.5,0.36995
1976728174,"the.undercutter",1,1,0.5,0.5,0.375
1976728174,"traveling.salesman",1,2,0.5,0,0.125
1976728174,"the.undercutter",2,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",2,2,0.5,0,0.1225
1976728174,"the.undercutter",3,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",3,2,0.5,0,0.1225
1976728174,"the.undercutter",4,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",4,2,0.5,0,0.1225
1976728174,"the.undercutter",5,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",5,2,0.5,0,0.1225
1976728174,"the.undercutter",6,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",6,2,0.5,0,0.1225
1976728174,"the.undercutter",7,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",7,2,0.5,0,0.1225
1976728174,"the.undercutter",8,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",8,2,0.5,0,0.1225
1976728174,"the.undercutter",9,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",9,2,0.5,0,0.1225
1976728174,"the.undercutter",10,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",10,2,0.5,0,0.1225
1976728174,"the.undercutter",11,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",11,2,0.5,0,0.1225
1976728174,"the.undercutter",12,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",12,2,0.5,0,0.1225
1976728174,"the.undercutter",13,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",13,2,0.5,0,0.1225
1976728174,"the.undercutter",14,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",14,2,0.5,0,0.1225
1976728174,"the.undercutter",15,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",15,2,0.5,0,0.1225
1976728174,"the.undercutter",16,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",16,2,0.5,0,0.1225
1976728174,"the.undercutter",17,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",17,2,0.5,0,0.1225
1976728174,"the.undercutter",18,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",18,2,0.5,0,0.1225
1976728174,"the.undercutter",19,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",19,2,0.5,0,0.1225
1976728174,"the.undercutter",20,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",20,2,0.5,0,0.1225
1976728174,"the.undercutter",21,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",21,2,0.5,0,0.1225
1976728174,"the.undercutter",22,1,0.49,0.5,0.36995
1976728174,"traveling.salesman",22,2,0.5,0,0.1225
473108217,"the.undercutter",1,1,0.5,0.5,0.25
473108217,"the.undercutter",1,2,0.5,0.5,0.25
473108217,"the.undercutter",2,1,0.49,0.5,0.245
473108217,"the.undercutter",2,2,0.49,0.5,0.245
473108217,"the.undercutter",3,1,0.48,0.5,0.24
473108217,"the.undercutter",3,2,0.48,0.5,0.24
473108217,"the.undercutter",4,1,0.47,0.5,0.235
473108217,"the.undercutter",4,2,0.47,0.5,0.235
473108217,"the.undercutter",5,1,0.46,0.5,0.23
473108217,"the.undercutter",5,2,0.46,0.5,0.23
473108217,"the.undercutter",6,1,0.45,0.5,0.225
473108217,"the.undercutter",6,2,0.45,0.5,0.225
473108217,"the.undercutter",7,1,0.44,0.5,0.22
473108217,"the.undercutter",7,2,0.44,0.5,0.22
473108217,"the.undercutter",8,1,0.43,0.5,0.215
473108217,"the.undercutter",8,2,0.43,0.5,0.215
473108217,"the.undercutter",9,1,0.42,0.5,0.21
473108217,"the.undercutter",9,2,0.42,0.5,0.21
473108217,"the.undercutter",10,1,0.41,0.5,0.205
473108217,"the.undercutter",10,2,0.41,0.5,0.205
473108217,"the.undercutter",11,1,0.4,0.5,0.2
473108217,"the.undercutter",11,2,0.4,0.5,0.2
473108217,"the.undercutter",12,1,0.39,0.5,0.195
